Window size,Simulation length,Window Size,checkpoint penalty,Best Window Size,Predicted Duration,Simulated Duration
9,480,9,10,3,58754.36257,58759.327
6,477,7,8,4,51871.52433,51648.34
2,436,14,14,5,59662.92874,56231.46504
9,883,12,39,5,124880.5764,122182.321
4,958,14,66,3,143748.4201,140490.9654
7,707,12,25,5,94835.50642,94794.366
5,818,12,34,5,118631.1877,112094.981
3,299,13,5,3,36299.45749,36653.23
6,353,10,7,3,46026.0082,43080.91
3,624,15,41,6,94801.78259,85510.6138
2,457,6,45,7,48837.48185,43808.72296
1,256,16,34,6,28350.88603,34650.83
4,916,15,93,6,137406.8783,134774.4
8,366,13,8,3,45459.38243,44836.382
2,404,7,80,7,52360.47527,49332.87
6,975,12,52,3,143619.0495,139206.2844
2,387,10,88,7,54355.33779,57797.161
4,833,11,40,5,121747.054,115280.9344
7,867,12,50,5,123426.2806,121987.3
7,769,16,42,6,105704.5005,105736.1966
8,552,9,32,6,76542.88764,74825.041
5,913,15,55,5,132186.0179,129258.88
5,913,11,81,5,135860.303,133990.8863
7,658,10,53,6,94824.99603,91647.5618
3,400,8,15,5,54540.09529,52048.575
8,952,13,81,5,147755.3599,140792.46
3,426,8,72,6,61825.43815,59975.955
9,458,8,27,6,57923.21377,60809.96
5,880,9,86,5,126678.3932,130052.876
9,847,7,51,7,109229.6885,104159.39
5,850,15,85,5,127436.0817,125446.891
7,936,16,77,5,139768.5674,137217.8
8,391,9,20,5,49674.21069,51192.603
4,562,13,2,3,71896.47692,68367.33976
3,679,4,57,7,46111.98823,51552.905
6,785,11,58,5,107052.463,110124.332
3,606,5,29,6,46790.8564,50406.35
4,554,12,80,6,81862.84772,79502.348
4,557,13,85,6,83276.06928,80362.62
1,171,7,15,3,16903.82991,17450.06
4,319,13,38,3,44813.94844,42496.06
1,98,15,5,5,11975.70843,12770.7
9,229,16,25,6,25654.32471,30632.65
2,978,3,73,7,60714.01958,65866.817
5,476,7,87,7,57488.83608,61703.361
4,313,10,67,3,42863.58548,44799.83
10,509,14,97,6,77388.29937,74363.37379
2,142,11,12,5,17881.31107,18729.61
6,520,11,72,6,76457.98096,73868.987
8,147,6,6,2,13392.07098,12551.301
