Tasks,StaticDuration,DynamicWindowDuration,DynamicMPCDuration,RLDuration,StaticCheckpoints,DynamicWindowCheckpoints,DynamicMPCCheckpoints,RLCheckpoints
3,21772,18365,18824,19295,57,101,14,13
4,23094,23238,22510,24482,44,118,47,20
5,30076,28243,26171,28319,66,117,88,43
6,33454,31764,32262,32187,66,136,123,89
7,41009,41128,39346,39173,99,163,170,101
8,49875,50011,49331,49158,133,202,180,135
9,52544,52840,51950,51802,199,188,179,158
10,55252,55626,54847,54452,133,187,200,154
11,58338,58871,57775,57695,199,203,187,154
12,61794,61750,61151,61052,199,206,196,170
13,65630,66444,65032,64681,133,220,205,177
14,69924,70039,69111,69014,199,211,202,137
15,74759,74499,73679,73701,199,232,220,138
16,79573,80057,79066,78862,199,214,228,169
