checkpoint penalty, duration without checkpointing, number of checkpoints, total duration with checkpointing
5,  42451.89600504681, 155, 43226.89600504681
10, 42451.89600504681, 155, 44001.89600504681
15, 42451.89600504681, 155, 44776.89600504681
20, 42451.89600504681, 155, 45551.89600504681
25, 42451.89600504681, 155, 46326.89600504681
30, 42451.89600504681, 155, 47101.89600504681
35, 42451.89600504681, 155, 47876.89600504681
40, 42451.89600504681, 155, 48651.89600504681
45, 42451.89600504681, 155, 49426.89600504681
50, 42451.89600504681, 155, 50201.89600504681
55, 42451.89600504681, 155, 50976.89600504681
60, 42451.89600504681, 155, 51751.89600504681
65, 42451.89600504681, 155, 52526.89600504681
70, 42451.89600504681, 155, 53301.89600504681
75, 42451.89600504681, 155, 54076.89600504681
80, 42451.89600504681, 155, 54851.89600504681
85, 42451.89600504681, 155, 55626.89600504681
90, 42451.89600504681, 155, 56401.89600504681
95, 42451.89600504681, 155, 57176.89600504681
100, 42451.89600504681, 155, 57951.89600504681
