Q Table size,Duration without Checkpoint Penalty,Number of Checkpoints,Total Duration
Q_Win5_Act3, 43027.459435423276, 128, 44947.459435423276
Q_Win6_Act3, 42688.25507251628, 143, 44833.25507251628
Q_Win5_Act4, 42272.35106540198, 160, 44672.35106540198
Q_Win7_Act3, 42755.4300697882, 142, 44885.4300697882
Q_Win6_Act4, 42451.89600504681, 155, 44776.89600504681
Q_Win5_Act5, 42825.10386937382, 132, 44805.10386937382
Q_Win7_Act4, 42943.54729768673, 127, 44848.54729768673
Q_Win6_Act5, 42360.23826136374, 158, 44730.23826136374
Q_Win7_Act5, 42453.11521566863, 152, 44733.11521566863

